2021-08-08 00:24:38,852 - crypto_trading_logger - INFO - Starting
2021-08-08 00:24:38,852 - crypto_trading_logger - INFO - autotrade start
2021-08-08 00:24:57,976 - crypto_trading_logger - INFO - Starting
2021-08-08 00:24:57,977 - crypto_trading_logger - INFO - autotrade start
2021-08-08 00:24:58,113 - crypto_trading_logger - INFO - base time 2021-08-08 00:24:00
2021-08-08 00:26:44,915 - crypto_trading_logger - INFO - Starting
2021-08-08 00:26:44,915 - crypto_trading_logger - INFO - autotrade start
2021-08-08 00:27:54,457 - crypto_trading_logger - INFO - now 2021-08-08 00:27:54.457711, tick 2021-08-08 00:27:00, t_price 278.5
2021-08-08 00:27:55,509 - crypto_trading_logger - INFO - now 2021-08-08 00:27:55.509660, tick 2021-08-08 00:27:00, t_price 278.5
2021-08-08 00:27:56,562 - crypto_trading_logger - INFO - now 2021-08-08 00:27:56.562265, tick 2021-08-08 00:27:00, t_price 278.5
2021-08-08 00:27:57,615 - crypto_trading_logger - INFO - now 2021-08-08 00:27:57.615786, tick 2021-08-08 00:27:00, t_price 278.5
2021-08-08 00:27:58,667 - crypto_trading_logger - INFO - now 2021-08-08 00:27:58.667031, tick 2021-08-08 00:27:00, t_price 278.5
2021-08-08 00:27:59,720 - crypto_trading_logger - INFO - now 2021-08-08 00:27:59.720706, tick 2021-08-08 00:27:00, t_price 278.5
2021-08-08 00:28:00,774 - crypto_trading_logger - INFO - now 2021-08-08 00:28:00.774956, tick 2021-08-08 00:27:00, t_price 278.5
2021-08-08 00:28:01,823 - crypto_trading_logger - INFO - now 2021-08-08 00:28:01.823983, tick 2021-08-08 00:27:00, t_price 278.5
2021-08-08 00:28:02,878 - crypto_trading_logger - INFO - now 2021-08-08 00:28:02.878804, tick 2021-08-08 00:27:00, t_price 278.5
2021-08-08 00:28:03,935 - crypto_trading_logger - INFO - now 2021-08-08 00:28:03.935650, tick 2021-08-08 00:27:00, t_price 278.5
2021-08-08 00:28:04,979 - crypto_trading_logger - INFO - now 2021-08-08 00:28:04.979850, tick 2021-08-08 00:27:00, t_price 278.5
2021-08-08 00:28:06,038 - crypto_trading_logger - INFO - now 2021-08-08 00:28:06.038695, tick 2021-08-08 00:27:00, t_price 278.5
2021-08-08 00:28:07,084 - crypto_trading_logger - INFO - now 2021-08-08 00:28:07.084581, tick 2021-08-08 00:27:00, t_price 278.5
2021-08-08 00:28:08,127 - crypto_trading_logger - INFO - now 2021-08-08 00:28:08.127734, tick 2021-08-08 00:27:00, t_price 278.5
2021-08-08 00:28:09,185 - crypto_trading_logger - INFO - now 2021-08-08 00:28:09.185349, tick 2021-08-08 00:27:00, t_price 278.5
2021-08-08 00:28:10,236 - crypto_trading_logger - INFO - now 2021-08-08 00:28:10.236429, tick 2021-08-08 00:27:00, t_price 278.5
2021-08-08 00:28:11,304 - crypto_trading_logger - INFO - now 2021-08-08 00:28:11.304436, tick 2021-08-08 00:27:00, t_price 278.5
2021-08-08 00:28:12,417 - crypto_trading_logger - INFO - now 2021-08-08 00:28:12.417304, tick 2021-08-08 00:27:00, t_price 278.5
2021-08-08 00:28:13,474 - crypto_trading_logger - INFO - now 2021-08-08 00:28:13.474837, tick 2021-08-08 00:27:00, t_price 278.5
2021-08-08 00:28:14,543 - crypto_trading_logger - INFO - now 2021-08-08 00:28:14.543229, tick 2021-08-08 00:27:00, t_price 278.5
2021-08-08 00:28:15,596 - crypto_trading_logger - INFO - now 2021-08-08 00:28:15.596184, tick 2021-08-08 00:27:00, t_price 278.5
2021-08-08 00:28:16,651 - crypto_trading_logger - INFO - now 2021-08-08 00:28:16.651299, tick 2021-08-08 00:27:00, t_price 278.5
2021-08-08 00:28:17,703 - crypto_trading_logger - INFO - now 2021-08-08 00:28:17.703628, tick 2021-08-08 00:27:00, t_price 278.5
